Vendedor,Mês,QuantidadeVendida,ValorVendido,TipoPagamento,Parcelas
Enzo Santos,Novembro,48,86320.58,Dinheiro,
Nicolas Pereira,Julho,1,1093.19,Cartão de Crédito,4
Vicente Cavalcanti,Janeiro,43,8924.61,PIX,
Dr. Davi Lucas da Rosa,Março,19,26570.39,Cartão de Crédito,1
Samuel Pereira,Maio,14,21445.6,Cartão de Crédito,3
Sr. Bryan Nascimento,Agosto,7,8894.25,Dinheiro,
Samuel Pereira,Setembro,15,22658.76,Dinheiro,
Enzo Santos,Abril,33,52476.06,Dinheiro,
Nicolas Pereira,Dezembro,43,8138.26,PIX,
Enzo Santos,Julho,44,30537.87,Dinheiro,
Ana Sophia Araújo,Janeiro,48,27722.31,Dinheiro,
Sr. Bryan Nascimento,Agosto,15,27477.36,Dinheiro,
Samuel Pereira,Novembro,24,36832.91,Dinheiro,
Samuel Pereira,Outubro,13,20470.82,Cartão de Crédito,3
Alice da Paz,Março,44,10625.61,Cartão de Crédito,12
Dra. Pietra Viana,Fevereiro,25,4430.13,PIX,
Dra. Pietra Viana,Maio,9,3651.88,PIX,
Ana Sophia Araújo,Junho,30,43452.29,Cartão de Crédito,1
Vicente Cavalcanti,Junho,39,7668.39,Dinheiro,
Clarice Porto,Novembro,20,20640.94,Dinheiro,
Dra. Pietra Viana,Junho,5,7948.3,PIX,
Dra. Pietra Viana,Abril,12,13069.82,Dinheiro,
Vicente Cavalcanti,Julho,35,39212.89,Cartão de Crédito,3
Sarah Viana,Abril,43,31414.88,PIX,
Nicolas Pereira,Abril,49,62461.92,PIX,
Dra. Pietra Viana,Novembro,1,317.97,PIX,
Alice da Paz,Abril,42,53173.35,Dinheiro,
Sarah Viana,Janeiro,44,78441.19,PIX,
João Gabriel Monteiro,Fevereiro,25,14688.05,Dinheiro,
Nicolas Pereira,Janeiro,34,56508.25,PIX,
Dra. Pietra Viana,Setembro,29,29722.94,PIX,
João Gabriel Monteiro,Novembro,13,9211.73,Cartão de Crédito,1
Vicente Cavalcanti,Setembro,35,3987.48,Cartão de Crédito,2
Emilly Almeida,Novembro,50,25251.64,Dinheiro,
Enzo Santos,Fevereiro,14,15704.26,Dinheiro,
João Gabriel Monteiro,Dezembro,50,46347.59,Cartão de Crédito,12
Emilly Almeida,Março,2,1945.06,PIX,
Ana Sophia Araújo,Fevereiro,5,1015.55,PIX,
Dra. Pietra Viana,Fevereiro,37,61459.84,PIX,
Enzo Santos,Julho,29,37624.97,PIX,
Antônio Carvalho,Janeiro,25,34481.69,Dinheiro,
Ana Sophia Araújo,Novembro,47,59918.6,Dinheiro,
Clarice Porto,Janeiro,45,77025.48,PIX,
João Gabriel Monteiro,Setembro,7,4554.83,Dinheiro,
Nicolas Pereira,Outubro,6,3809.3,PIX,
Enzo Santos,Julho,43,6817.92,Cartão de Crédito,6
Sarah Viana,Março,48,40458.52,Dinheiro,
Nicolas Pereira,Novembro,10,6663.07,Dinheiro,
Emilly Almeida,Junho,1,1151.7,Dinheiro,
Vicente Cavalcanti,Fevereiro,3,328.67,Dinheiro,
Enzo Santos,Setembro,36,68373.39,PIX,
Sarah Viana,Dezembro,48,87203.43,PIX,
Sarah Viana,Julho,42,72146.42,Cartão de Crédito,2
Vicente Cavalcanti,Abril,40,67440.88,Cartão de Crédito,1
Vicente Cavalcanti,Novembro,37,63613.25,Dinheiro,
Alice da Paz,Novembro,36,8603.09,Dinheiro,
Sra. Elisa das Neves,Maio,7,3325.65,Dinheiro,
Alice da Paz,Junho,23,7903.0,Dinheiro,
Sarah Viana,Fevereiro,19,24264.52,Cartão de Crédito,3
Alice da Paz,Agosto,22,27963.11,PIX,
Samuel Pereira,Outubro,10,11745.49,PIX,
Dr. Davi Lucas da Rosa,Junho,28,11771.62,PIX,
Sarah Viana,Abril,46,69259.94,PIX,
Nicolas Pereira,Junho,9,12520.82,PIX,
João Gabriel Monteiro,Agosto,30,28385.4,PIX,
Alice da Paz,Setembro,7,3037.74,Dinheiro,
Sra. Elisa das Neves,Maio,9,16141.18,Cartão de Crédito,3
Samuel Pereira,Novembro,5,7410.54,Cartão de Crédito,6
Emilly Almeida,Janeiro,38,45596.64,Dinheiro,
Sarah Viana,Janeiro,36,21426.16,Dinheiro,
Alice da Paz,Novembro,50,19120.13,PIX,
Sarah Viana,Outubro,47,81244.76,Cartão de Crédito,4
Dra. Pietra Viana,Setembro,6,5123.35,Dinheiro,
Ana Sophia Araújo,Novembro,16,27378.65,Dinheiro,
Emilly Almeida,Março,49,52766.12,PIX,
Vicente Cavalcanti,Março,37,70394.44,Dinheiro,
Sr. Bryan Nascimento,Março,48,71558.81,PIX,
Ana Sophia Araújo,Abril,49,50299.48,Cartão de Crédito,3
Antônio Carvalho,Abril,3,4110.94,Dinheiro,
João Gabriel Monteiro,Junho,25,24809.53,PIX,
João Gabriel Monteiro,Janeiro,3,5889.36,PIX,
Sra. Elisa das Neves,Dezembro,34,44328.43,PIX,
Sr. Bryan Nascimento,Dezembro,17,20389.8,Dinheiro,
Vicente Cavalcanti,Julho,42,34405.78,Dinheiro,
Emilly Almeida,Fevereiro,34,19652.48,Cartão de Crédito,6
Enzo Santos,Junho,23,23575.85,PIX,
João Gabriel Monteiro,Outubro,1,1053.49,Cartão de Crédito,4
Vicente Cavalcanti,Abril,5,5388.14,PIX,
Sarah Viana,Março,12,4787.75,Dinheiro,
Samuel Pereira,Fevereiro,43,23119.3,PIX,
Samuel Pereira,Fevereiro,31,42871.01,PIX,
Sarah Viana,Outubro,11,14627.72,PIX,
Ana Sophia Araújo,Abril,3,1028.95,Dinheiro,
Vicente Cavalcanti,Março,41,44034.88,Dinheiro,
Vicente Cavalcanti,Janeiro,11,6497.63,Cartão de Crédito,6
Enzo Santos,Outubro,37,48524.88,Dinheiro,
Samuel Pereira,Novembro,19,36095.86,Cartão de Crédito,4
Clarice Porto,Agosto,31,13146.38,PIX,
Clarice Porto,Março,38,63036.72,Cartão de Crédito,6
Emilly Almeida,Setembro,17,7117.41,Dinheiro,
Antônio Carvalho,Agosto,39,47663.16,Cartão de Crédito,4
Enzo Santos,Março,7,920.28,Dinheiro,
Sr. Bryan Nascimento,Setembro,44,39494.86,Cartão de Crédito,6
Sra. Elisa das Neves,Março,31,56204.72,Dinheiro,
Ana Sophia Araújo,Setembro,33,50474.42,Cartão de Crédito,4
Emilly Almeida,Março,39,43861.09,Cartão de Crédito,12
Emilly Almeida,Julho,34,30576.19,Cartão de Crédito,12
Dra. Pietra Viana,Julho,15,28245.02,PIX,
Dr. Davi Lucas da Rosa,Julho,23,28041.4,Dinheiro,
João Gabriel Monteiro,Dezembro,37,10569.5,Cartão de Crédito,3
Alice da Paz,Abril,6,3829.24,Dinheiro,
Enzo Santos,Maio,13,1435.1,Dinheiro,
Dr. Davi Lucas da Rosa,Janeiro,37,40434.61,Dinheiro,
Ana Sophia Araújo,Julho,42,20592.41,PIX,
Enzo Santos,Junho,7,2758.56,Dinheiro,
Clarice Porto,Maio,17,29315.75,PIX,
Clarice Porto,Junho,40,24942.6,Dinheiro,
Enzo Santos,Abril,27,31022.98,Dinheiro,
Alice da Paz,Março,24,27894.68,PIX,
Nicolas Pereira,Maio,37,27908.25,Dinheiro,
Enzo Santos,Dezembro,9,15520.48,Dinheiro,
Sra. Elisa das Neves,Dezembro,15,14227.95,Dinheiro,
Vicente Cavalcanti,Fevereiro,14,14921.94,PIX,
Dr. Davi Lucas da Rosa,Setembro,40,56976.36,Dinheiro,
Ana Sophia Araújo,Março,25,48317.09,Cartão de Crédito,1
Sr. Bryan Nascimento,Março,31,57633.26,PIX,
Sra. Elisa das Neves,Fevereiro,17,8863.18,Cartão de Crédito,6
Ana Sophia Araújo,Dezembro,25,46707.54,PIX,
Clarice Porto,Novembro,34,21905.91,Dinheiro,
Ana Sophia Araújo,Março,41,42611.3,Cartão de Crédito,2
Sr. Bryan Nascimento,Novembro,34,21876.02,Cartão de Crédito,6
Dra. Pietra Viana,Setembro,45,24307.87,Cartão de Crédito,12
Ana Sophia Araújo,Junho,16,21512.58,Cartão de Crédito,1
Nicolas Pereira,Julho,23,31564.23,PIX,
Clarice Porto,Abril,34,4392.68,Dinheiro,
Sra. Elisa das Neves,Fevereiro,36,23059.38,Dinheiro,
João Gabriel Monteiro,Outubro,23,17484.66,PIX,
Sarah Viana,Outubro,13,12532.55,PIX,
Clarice Porto,Janeiro,17,7353.62,Dinheiro,
Sra. Elisa das Neves,Setembro,5,5280.11,PIX,
Sra. Elisa das Neves,Setembro,17,29998.45,Dinheiro,
Nicolas Pereira,Dezembro,29,56129.66,Dinheiro,
Alice da Paz,Abril,49,36522.42,PIX,
Emilly Almeida,Agosto,38,66038.08,PIX,
Sra. Elisa das Neves,Maio,5,4135.4,Cartão de Crédito,12
Samuel Pereira,Abril,21,18555.8,PIX,
Dra. Pietra Viana,Setembro,1,1431.56,PIX,
Sarah Viana,Maio,6,5147.81,Dinheiro,
Sr. Bryan Nascimento,Junho,5,5768.24,Cartão de Crédito,4
Antônio Carvalho,Junho,14,25188.81,PIX,
Vicente Cavalcanti,Dezembro,44,82169.34,Cartão de Crédito,4
Samuel Pereira,Abril,16,23957.04,PIX,
Sarah Viana,Abril,13,21923.03,Dinheiro,
Antônio Carvalho,Março,50,15135.48,Cartão de Crédito,12
Emilly Almeida,Agosto,40,4503.4,Dinheiro,
Ana Sophia Araújo,Agosto,24,30702.44,PIX,
João Gabriel Monteiro,Outubro,18,18585.54,Dinheiro,
Nicolas Pereira,Julho,15,22879.83,Cartão de Crédito,1
Dra. Pietra Viana,Julho,31,58445.65,Cartão de Crédito,6
Antônio Carvalho,Julho,44,69265.57,PIX,
Sra. Elisa das Neves,Dezembro,34,33120.56,Dinheiro,
Ana Sophia Araújo,Janeiro,44,22018.9,Dinheiro,
Sra. Elisa das Neves,Junho,24,30342.68,PIX,
Vicente Cavalcanti,Setembro,17,9359.59,PIX,
Clarice Porto,Junho,24,10786.46,PIX,
Sarah Viana,Julho,45,68812.74,PIX,
Sr. Bryan Nascimento,Julho,18,17214.93,Dinheiro,
Vicente Cavalcanti,Outubro,44,23508.18,Cartão de Crédito,12
Nicolas Pereira,Abril,36,33163.76,PIX,
Sarah Viana,Março,48,18438.78,Cartão de Crédito,2
Enzo Santos,Agosto,9,17924.11,Dinheiro,
Dra. Pietra Viana,Setembro,47,32894.44,PIX,
Nicolas Pereira,Maio,36,62321.54,Cartão de Crédito,4
Sra. Elisa das Neves,Dezembro,11,2354.76,PIX,
Alice da Paz,Novembro,7,6683.07,PIX,
Nicolas Pereira,Junho,24,27951.96,PIX,
Antônio Carvalho,Janeiro,27,8919.48,Dinheiro,
Clarice Porto,Abril,37,44185.38,Dinheiro,
Dra. Pietra Viana,Março,50,32037.83,PIX,
Emilly Almeida,Setembro,32,50304.46,PIX,
João Gabriel Monteiro,Fevereiro,25,31649.03,PIX,
Emilly Almeida,Março,11,14488.14,PIX,
Enzo Santos,Novembro,40,47444.46,Cartão de Crédito,1
Vicente Cavalcanti,Junho,15,10434.24,Dinheiro,
Nicolas Pereira,Dezembro,18,22504.17,PIX,
Nicolas Pereira,Agosto,50,86966.62,PIX,
Samuel Pereira,Outubro,34,65772.98,PIX,
Vicente Cavalcanti,Março,2,675.15,Cartão de Crédito,12
Nicolas Pereira,Dezembro,45,68602.75,Cartão de Crédito,2
Enzo Santos,Fevereiro,7,1548.44,PIX,
Dra. Pietra Viana,Janeiro,2,3129.55,Dinheiro,
Dr. Davi Lucas da Rosa,Fevereiro,7,4190.62,Cartão de Crédito,1
Emilly Almeida,Julho,20,10715.53,Dinheiro,
Nicolas Pereira,Agosto,41,13947.47,Dinheiro,
Sr. Bryan Nascimento,Março,2,333.59,PIX,
Sr. Bryan Nascimento,Junho,31,30617.7,Dinheiro,
João Gabriel Monteiro,Maio,36,34027.39,Dinheiro,
Dra. Pietra Viana,Março,38,46945.58,Dinheiro,
Samuel Pereira,Novembro,37,34278.91,Dinheiro,
Emilly Almeida,Setembro,20,36539.08,PIX,
Dra. Pietra Viana,Abril,6,5637.21,PIX,
Enzo Santos,Maio,10,6767.89,Cartão de Crédito,6
Sr. Bryan Nascimento,Março,23,14831.51,Dinheiro,
Ana Sophia Araújo,Dezembro,32,60775.02,PIX,
Nicolas Pereira,Janeiro,50,45891.35,PIX,
Clarice Porto,Abril,1,1141.6,Cartão de Crédito,4
João Gabriel Monteiro,Setembro,28,23800.81,Cartão de Crédito,12
Samuel Pereira,Novembro,25,41850.28,Cartão de Crédito,3
Sra. Elisa das Neves,Julho,41,22761.87,Dinheiro,
Dr. Davi Lucas da Rosa,Dezembro,44,27127.92,Dinheiro,
Samuel Pereira,Setembro,18,15921.31,Cartão de Crédito,2
Vicente Cavalcanti,Maio,8,10480.77,Dinheiro,
Alice da Paz,Maio,45,57745.45,Cartão de Crédito,3
Ana Sophia Araújo,Março,4,7769.84,Cartão de Crédito,2
Sra. Elisa das Neves,Maio,18,6076.34,PIX,
Samuel Pereira,Janeiro,15,4070.61,Cartão de Crédito,4
Sarah Viana,Junho,27,18683.88,PIX,
Antônio Carvalho,Agosto,45,72166.81,PIX,
Sra. Elisa das Neves,Março,4,2425.43,PIX,
Sra. Elisa das Neves,Setembro,31,13796.46,PIX,
Sr. Bryan Nascimento,Julho,1,331.73,Dinheiro,
Sarah Viana,Julho,50,97622.36,Cartão de Crédito,12
Ana Sophia Araújo,Abril,30,44913.4,Cartão de Crédito,6
Emilly Almeida,Abril,31,26019.34,PIX,
João Gabriel Monteiro,Junho,11,14249.53,Cartão de Crédito,12
João Gabriel Monteiro,Setembro,34,11290.34,PIX,
Emilly Almeida,Maio,13,10202.54,Cartão de Crédito,12
Sarah Viana,Fevereiro,16,20840.43,PIX,
Ana Sophia Araújo,Março,18,21796.63,PIX,
Dr. Davi Lucas da Rosa,Abril,1,1940.79,Dinheiro,
Dr. Davi Lucas da Rosa,Dezembro,31,43647.15,Cartão de Crédito,3
Dr. Davi Lucas da Rosa,Fevereiro,16,6394.03,Cartão de Crédito,12
Clarice Porto,Junho,49,63099.82,Cartão de Crédito,3
Emilly Almeida,Março,45,50358.21,Cartão de Crédito,2
Alice da Paz,Abril,21,41268.86,Dinheiro,
Dr. Davi Lucas da Rosa,Junho,29,43298.7,Cartão de Crédito,12
Enzo Santos,Junho,47,16731.58,Cartão de Crédito,4
Samuel Pereira,Agosto,36,23758.48,Dinheiro,
Alice da Paz,Abril,37,16819.86,PIX,
Antônio Carvalho,Dezembro,30,18693.49,Dinheiro,
João Gabriel Monteiro,Setembro,11,2539.52,Cartão de Crédito,4
Nicolas Pereira,Maio,35,27913.0,Cartão de Crédito,12
Dra. Pietra Viana,Julho,47,21268.21,Cartão de Crédito,6
Sr. Bryan Nascimento,Junho,50,63918.74,PIX,
Samuel Pereira,Fevereiro,43,83317.23,PIX,
Sarah Viana,Setembro,44,45995.11,Dinheiro,
Vicente Cavalcanti,Outubro,19,13545.86,Dinheiro,
Antônio Carvalho,Fevereiro,7,7658.57,Cartão de Crédito,1
Sr. Bryan Nascimento,Março,12,21115.64,Cartão de Crédito,1
Alice da Paz,Abril,7,1123.17,Dinheiro,
Sr. Bryan Nascimento,Julho,43,44325.62,Dinheiro,
Samuel Pereira,Outubro,17,3285.47,Cartão de Crédito,6
Samuel Pereira,Fevereiro,1,1867.4,Cartão de Crédito,12
Alice da Paz,Fevereiro,30,48658.14,Cartão de Crédito,3
Dra. Pietra Viana,Dezembro,27,44869.96,Dinheiro,
Ana Sophia Araújo,Outubro,18,19892.51,Dinheiro,
Sra. Elisa das Neves,Maio,5,9473.73,Dinheiro,
Sra. Elisa das Neves,Fevereiro,47,25329.91,PIX,
Sarah Viana,Abril,34,45834.22,Dinheiro,
Emilly Almeida,Março,36,54844.89,PIX,
Samuel Pereira,Fevereiro,50,65669.31,PIX,
Emilly Almeida,Agosto,45,61378.22,Cartão de Crédito,2
Dr. Davi Lucas da Rosa,Março,36,31066.51,PIX,
Emilly Almeida,Março,35,69895.83,PIX,
João Gabriel Monteiro,Junho,21,24048.25,PIX,
Sr. Bryan Nascimento,Junho,27,41902.66,PIX,
Sr. Bryan Nascimento,Dezembro,21,26375.69,Dinheiro,
Dra. Pietra Viana,Abril,25,38871.14,Dinheiro,
Nicolas Pereira,Junho,29,27557.24,PIX,
Ana Sophia Araújo,Dezembro,3,5902.85,Dinheiro,
Ana Sophia Araújo,Setembro,9,17887.35,PIX,
Ana Sophia Araújo,Maio,15,7622.45,PIX,
Ana Sophia Araújo,Dezembro,18,33233.63,Dinheiro,
Dra. Pietra Viana,Outubro,37,14576.45,Cartão de Crédito,4
Antônio Carvalho,Março,9,5431.3,Dinheiro,
Sarah Viana,Abril,17,27897.7,Cartão de Crédito,6
Enzo Santos,Outubro,14,20931.47,Dinheiro,
Antônio Carvalho,Agosto,12,12332.7,Dinheiro,
Samuel Pereira,Outubro,7,8616.57,PIX,
Ana Sophia Araújo,Dezembro,37,30522.69,Cartão de Crédito,3
Antônio Carvalho,Julho,27,50421.62,Cartão de Crédito,2
Samuel Pereira,Novembro,39,72713.2,Dinheiro,
Dr. Davi Lucas da Rosa,Novembro,25,5071.08,Dinheiro,
Ana Sophia Araújo,Junho,35,41066.71,PIX,
Dra. Pietra Viana,Dezembro,15,5866.13,Dinheiro,
Samuel Pereira,Julho,29,44381.5,Dinheiro,
Dra. Pietra Viana,Fevereiro,15,13810.17,PIX,
Vicente Cavalcanti,Março,22,5650.39,Dinheiro,
Samuel Pereira,Janeiro,36,30904.68,Cartão de Crédito,4
Dra. Pietra Viana,Julho,50,71297.7,Cartão de Crédito,4
Dra. Pietra Viana,Abril,32,27235.38,Dinheiro,
Sarah Viana,Setembro,40,79777.99,Dinheiro,
Sarah Viana,Abril,5,3029.44,PIX,
Antônio Carvalho,Novembro,37,9998.5,Dinheiro,
Enzo Santos,Julho,24,18282.84,PIX,
Antônio Carvalho,Outubro,42,6131.71,PIX,
Vicente Cavalcanti,Junho,40,66440.39,PIX,
Clarice Porto,Março,29,5372.75,Cartão de Crédito,2
Emilly Almeida,Junho,10,15396.94,Cartão de Crédito,1
Samuel Pereira,Janeiro,16,30447.8,Cartão de Crédito,3
Ana Sophia Araújo,Junho,45,73266.01,PIX,
Alice da Paz,Agosto,2,1461.13,Dinheiro,
Dra. Pietra Viana,Abril,14,15934.88,PIX,
Dra. Pietra Viana,Agosto,40,59474.19,Cartão de Crédito,12
Samuel Pereira,Novembro,2,1631.11,Dinheiro,
Dra. Pietra Viana,Janeiro,17,7201.32,PIX,
Sarah Viana,Dezembro,40,24617.39,PIX,
Emilly Almeida,Janeiro,5,4192.13,PIX,
Emilly Almeida,Novembro,24,41811.27,Cartão de Crédito,3
Sr. Bryan Nascimento,Novembro,25,13480.51,PIX,
Dra. Pietra Viana,Dezembro,7,12721.5,PIX,
Sr. Bryan Nascimento,Outubro,35,9353.37,Cartão de Crédito,6
Alice da Paz,Setembro,46,6478.09,Cartão de Crédito,6
Nicolas Pereira,Junho,32,27118.71,Cartão de Crédito,1
Antônio Carvalho,Novembro,23,17830.02,PIX,
Sarah Viana,Setembro,18,29566.74,Dinheiro,
Nicolas Pereira,Julho,2,3787.72,PIX,
Sarah Viana,Março,22,39701.93,Dinheiro,
Vicente Cavalcanti,Fevereiro,47,38831.1,Dinheiro,
Clarice Porto,Novembro,44,23412.98,Cartão de Crédito,6
Vicente Cavalcanti,Julho,20,36569.94,PIX,
Alice da Paz,Setembro,9,4435.55,Cartão de Crédito,6
Dra. Pietra Viana,Novembro,13,22605.92,PIX,
Samuel Pereira,Dezembro,34,62157.75,PIX,
João Gabriel Monteiro,Março,42,78655.79,Cartão de Crédito,3
Sra. Elisa das Neves,Setembro,35,66582.0,Cartão de Crédito,2
Antônio Carvalho,Março,47,7332.86,PIX,
João Gabriel Monteiro,Julho,27,18261.76,Dinheiro,
João Gabriel Monteiro,Novembro,48,29770.21,Cartão de Crédito,1
Vicente Cavalcanti,Março,2,3097.3,Dinheiro,
Clarice Porto,Maio,39,45917.89,Cartão de Crédito,6
Sarah Viana,Abril,44,6580.66,Cartão de Crédito,12
Dr. Davi Lucas da Rosa,Agosto,9,9489.75,Dinheiro,
Alice da Paz,Dezembro,42,34041.96,PIX,
Alice da Paz,Agosto,9,3700.75,Cartão de Crédito,1
Enzo Santos,Janeiro,18,34296.77,Cartão de Crédito,12
Emilly Almeida,Abril,49,23944.73,Cartão de Crédito,4
Sr. Bryan Nascimento,Outubro,32,45022.05,PIX,
João Gabriel Monteiro,Abril,28,24338.91,Cartão de Crédito,6
Samuel Pereira,Julho,47,32641.75,Dinheiro,
Samuel Pereira,Outubro,39,43629.41,Dinheiro,
João Gabriel Monteiro,Dezembro,3,3267.7,PIX,
Alice da Paz,Janeiro,16,17368.56,PIX,
Samuel Pereira,Janeiro,36,30098.01,Dinheiro,
Ana Sophia Araújo,Abril,19,17767.89,PIX,
Dr. Davi Lucas da Rosa,Maio,30,12489.74,PIX,
Clarice Porto,Janeiro,45,48700.91,Cartão de Crédito,4
Sr. Bryan Nascimento,Novembro,29,7883.29,Dinheiro,
Sra. Elisa das Neves,Março,50,60617.53,Dinheiro,
Dra. Pietra Viana,Março,26,23029.83,PIX,
Ana Sophia Araújo,Março,30,36647.98,Dinheiro,
João Gabriel Monteiro,Abril,30,8140.24,PIX,
Samuel Pereira,Novembro,46,74212.9,Dinheiro,
Samuel Pereira,Fevereiro,6,1901.48,PIX,
Emilly Almeida,Junho,6,6571.52,PIX,
Samuel Pereira,Setembro,40,76181.3,PIX,
Dra. Pietra Viana,Julho,3,4679.08,PIX,
Clarice Porto,Novembro,10,4080.36,Cartão de Crédito,2
Dr. Davi Lucas da Rosa,Dezembro,4,3588.82,PIX,
Samuel Pereira,Agosto,19,24514.95,Cartão de Crédito,2
Sarah Viana,Janeiro,40,62170.08,Cartão de Crédito,4
Alice da Paz,Agosto,35,57195.73,Dinheiro,
João Gabriel Monteiro,Agosto,16,8192.96,Dinheiro,
Alice da Paz,Agosto,27,25368.21,Dinheiro,
Clarice Porto,Janeiro,16,28417.9,PIX,
Clarice Porto,Novembro,36,59696.3,Cartão de Crédito,1
Vicente Cavalcanti,Março,4,5364.9,Cartão de Crédito,2
Sr. Bryan Nascimento,Janeiro,43,51530.17,Dinheiro,
Nicolas Pereira,Junho,6,1158.96,PIX,
Vicente Cavalcanti,Março,44,28174.21,Dinheiro,
Samuel Pereira,Dezembro,39,46306.14,Dinheiro,
Vicente Cavalcanti,Agosto,48,57601.73,Cartão de Crédito,1
Dr. Davi Lucas da Rosa,Maio,21,16805.92,PIX,
Sr. Bryan Nascimento,Fevereiro,49,44683.85,Dinheiro,
Sra. Elisa das Neves,Maio,31,11024.75,Dinheiro,
Sr. Bryan Nascimento,Maio,22,24230.8,Dinheiro,
Sarah Viana,Dezembro,14,17680.63,Cartão de Crédito,6
Samuel Pereira,Novembro,34,67172.43,PIX,
Samuel Pereira,Dezembro,39,73101.37,Dinheiro,
Nicolas Pereira,Julho,39,66721.83,PIX,
Dra. Pietra Viana,Outubro,40,30892.85,Cartão de Crédito,6
Clarice Porto,Agosto,34,50505.33,PIX,
Alice da Paz,Março,40,21686.84,PIX,
Sarah Viana,Janeiro,8,1164.6,Dinheiro,
Dr. Davi Lucas da Rosa,Fevereiro,48,82143.96,Dinheiro,
Enzo Santos,Julho,3,2202.62,Dinheiro,
Dr. Davi Lucas da Rosa,Novembro,14,1700.51,Cartão de Crédito,12
Nicolas Pereira,Maio,5,3423.84,Dinheiro,
Dra. Pietra Viana,Junho,50,5582.47,Dinheiro,
Antônio Carvalho,Junho,26,38385.19,Dinheiro,
Ana Sophia Araújo,Março,13,9463.72,PIX,
João Gabriel Monteiro,Novembro,31,57062.0,Cartão de Crédito,12
Vicente Cavalcanti,Agosto,10,12916.81,Dinheiro,
João Gabriel Monteiro,Junho,30,47687.37,PIX,
João Gabriel Monteiro,Dezembro,4,6746.8,PIX,
Clarice Porto,Dezembro,44,30776.04,Dinheiro,
Ana Sophia Araújo,Abril,37,51890.18,PIX,
Sra. Elisa das Neves,Março,18,30553.28,PIX,
Enzo Santos,Novembro,35,59519.98,Dinheiro,
Clarice Porto,Julho,12,14770.37,PIX,
Samuel Pereira,Junho,46,7364.31,PIX,
Sra. Elisa das Neves,Agosto,16,12896.14,PIX,
Sarah Viana,Setembro,20,8650.48,PIX,
Dr. Davi Lucas da Rosa,Janeiro,50,24199.35,Cartão de Crédito,4
Dra. Pietra Viana,Janeiro,31,56401.9,Cartão de Crédito,2
Antônio Carvalho,Agosto,47,82737.4,PIX,
Dr. Davi Lucas da Rosa,Junho,10,15620.15,Cartão de Crédito,6
Emilly Almeida,Março,14,20673.58,PIX,
Enzo Santos,Dezembro,34,10883.0,PIX,
João Gabriel Monteiro,Janeiro,44,75303.17,Cartão de Crédito,3
Alice da Paz,Janeiro,7,7623.68,Dinheiro,
Samuel Pereira,Maio,2,2394.73,PIX,
Emilly Almeida,Abril,21,10102.16,PIX,
Nicolas Pereira,Setembro,21,32934.21,Dinheiro,
Sra. Elisa das Neves,Maio,10,3992.42,Cartão de Crédito,1
Clarice Porto,Setembro,33,9718.93,Dinheiro,
Antônio Carvalho,Setembro,21,12914.98,Dinheiro,
Dr. Davi Lucas da Rosa,Maio,37,20911.2,Cartão de Crédito,3
Clarice Porto,Junho,35,33002.57,Cartão de Crédito,1
Alice da Paz,Novembro,4,1205.04,Cartão de Crédito,1
Enzo Santos,Julho,12,17266.65,Dinheiro,
Emilly Almeida,Dezembro,45,42619.0,PIX,
Nicolas Pereira,Junho,13,18908.6,Dinheiro,
Dr. Davi Lucas da Rosa,Setembro,6,11699.97,PIX,
Clarice Porto,Março,6,9866.5,Dinheiro,
Alice da Paz,Fevereiro,30,20692.33,Dinheiro,
Samuel Pereira,Agosto,31,16746.79,Cartão de Crédito,2
Sr. Bryan Nascimento,Outubro,17,31185.43,PIX,
Vicente Cavalcanti,Dezembro,43,31287.79,PIX,
Alice da Paz,Agosto,2,448.39,Cartão de Crédito,3
Alice da Paz,Agosto,11,6999.18,PIX,
Clarice Porto,Outubro,9,9585.94,PIX,
Sr. Bryan Nascimento,Dezembro,7,5034.07,Dinheiro,
Sra. Elisa das Neves,Maio,35,34154.83,Dinheiro,
Enzo Santos,Abril,40,22520.52,Cartão de Crédito,4
Enzo Santos,Fevereiro,22,10904.35,Dinheiro,
Clarice Porto,Julho,28,32975.64,PIX,
Dra. Pietra Viana,Dezembro,16,6861.8,Dinheiro,
Sra. Elisa das Neves,Dezembro,46,54784.06,PIX,
Sra. Elisa das Neves,Outubro,39,38201.51,Dinheiro,
Sra. Elisa das Neves,Agosto,12,8223.21,PIX,
Sra. Elisa das Neves,Outubro,7,9817.27,Dinheiro,
Dr. Davi Lucas da Rosa,Julho,21,21822.38,Dinheiro,
Ana Sophia Araújo,Fevereiro,14,23133.09,Dinheiro,
João Gabriel Monteiro,Novembro,1,1538.45,Dinheiro,
Vicente Cavalcanti,Agosto,35,22884.97,Dinheiro,
Clarice Porto,Agosto,13,6379.84,PIX,
Nicolas Pereira,Outubro,44,29860.39,PIX,
Samuel Pereira,Junho,6,7243.09,Dinheiro,
Dra. Pietra Viana,Julho,9,15477.84,Cartão de Crédito,3
João Gabriel Monteiro,Setembro,4,406.41,Dinheiro,
Sr. Bryan Nascimento,Junho,8,13890.97,Cartão de Crédito,2
Enzo Santos,Dezembro,38,32266.17,PIX,
Samuel Pereira,Julho,26,21449.31,Dinheiro,
Sarah Viana,Novembro,12,12027.07,Cartão de Crédito,6
Enzo Santos,Junho,27,10613.91,Dinheiro,
Vicente Cavalcanti,Março,1,236.32,Cartão de Crédito,2
Samuel Pereira,Agosto,43,39981.26,Cartão de Crédito,1
